lncrna_id,partner_id,partner_name,pearson_r,pvalue
Cp_V2_contig_24180,Cp_V2_contig_25909,.,0.9061,0.000303
Cp_V2_contig_24180,Cp_V2_contig_21675,.,0.9046,0.000323
Cp_V2_contig_24180,Cp_V2_contig_25011,.,0.9043,0.000326
Cp_V2_contig_24180,Cp_V2_contig_19327,.,0.9037,0.000335
Cp_V2_contig_24180,Cp_V2_contig_10892,.,0.9034,0.000339
Cp_V2_contig_24180,Cp_V2_contig_13975,.,0.903,0.000344
Cp_V2_contig_24180,Cp_V2_contig_26669,.,0.9026,0.00035
Cp_V2_contig_24180,Cp_V2_contig_7308,.,0.9024,0.000352
Cp_V2_contig_24180,Cp_V2_contig_10968,.,0.902,0.000358
Cp_V2_contig_24180,Cp_V2_contig_38445,.,0.9017,0.000362
Cp_V2_contig_24180,Cp_V2_contig_5942,.,0.9017,0.000362
Cp_V2_contig_24180,Cp_V2_contig_2554,.,0.901,0.000373
Cp_V2_contig_24180,Cp_V2_contig_13362,.,0.9007,0.000377
Cp_V2_contig_24180,Cp_V2_contig_15777,.,0.9005,0.000379
Cp_V2_contig_24180,Cp_V2_contig_24396,.,0.9003,0.000383
Cp_V2_contig_2815,Cp_V2_contig_18010,.,0.9823,0.0
Cp_V2_contig_2815,Cp_V2_contig_13515,.,0.9803,1e-06
Cp_V2_contig_2815,Cp_V2_contig_16342,.,0.9802,1e-06
Cp_V2_contig_2815,Cp_V2_contig_16079,.,0.9772,1e-06
Cp_V2_contig_2815,Cp_V2_contig_1856,.,0.9755,2e-06
Cp_V2_contig_2815,Cp_V2_contig_680,.,0.9734,2e-06
Cp_V2_contig_2815,Cp_V2_contig_43581,.,0.9725,2e-06
Cp_V2_contig_2815,Cp_V2_contig_46907,.,0.9679,4e-06
Cp_V2_contig_2815,Cp_V2_contig_24081,.,0.9678,5e-06
Cp_V2_contig_2815,Cp_V2_contig_45503,.,0.9667,5e-06
Cp_V2_contig_2815,Cp_V2_contig_24162,.,0.9666,5e-06
Cp_V2_contig_2815,Cp_V2_contig_7714,.,0.9663,5e-06
Cp_V2_contig_2815,Cp_V2_contig_8579,.,0.9657,6e-06
Cp_V2_contig_2815,Cp_V2_contig_26026,.,0.9647,6e-06
Cp_V2_contig_2815,Cp_V2_contig_5393,.,0.9639,7e-06
Cp_V2_contig_2815,Cp_V2_contig_123,.,0.9632,8e-06
Cp_V2_contig_2815,Cp_V2_contig_1097,.,0.963,8e-06
Cp_V2_contig_2815,Cp_V2_contig_46183,.,0.9624,8e-06
Cp_V2_contig_2815,Cp_V2_contig_34533,.,0.962,9e-06
Cp_V2_contig_2815,Cp_V2_contig_37429,.,0.9605,1e-05
Cp_V2_contig_2815,Cp_V2_contig_22727,.,0.9602,1e-05
Cp_V2_contig_2815,Cp_V2_contig_20939,.,0.9585,1.2e-05
Cp_V2_contig_2815,Cp_V2_contig_31777,.,0.9573,1.4e-05
Cp_V2_contig_2815,Cp_V2_contig_13805,.,0.9571,1.4e-05
Cp_V2_contig_2815,Cp_V2_contig_29767,.,0.9556,1.6e-05
Cp_V2_contig_2815,Cp_V2_contig_27725,.,0.9555,1.6e-05
Cp_V2_contig_2815,Cp_V2_contig_36163,.,0.9555,1.6e-05
Cp_V2_contig_2815,Cp_V2_contig_9550,.,0.9541,1.8e-05
Cp_V2_contig_2815,Cp_V2_contig_17963,.,0.9527,2.1e-05
Cp_V2_contig_2815,Cp_V2_contig_13780,.,0.9522,2.2e-05
Cp_V2_contig_2815,Cp_V2_contig_17052,.,0.9519,2.2e-05
Cp_V2_contig_2815,Cp_V2_contig_4915,.,0.9517,2.2e-05
Cp_V2_contig_2815,Cp_V2_contig_1900,.,0.9515,2.3e-05
Cp_V2_contig_2815,Cp_V2_contig_7739,.,0.9514,2.3e-05
