Gene_ID,Sl_hyd_r1,Sl_hyd_r2,Sl_hyd_r3,Sl_des_r1,Sl_des_r2,Sl_des_r3,Sl_rehyd_r1,Sl_rehyd_r2,Sl_rehyd_r3
MSTRG.12323,22.281544,10.308076,16.802353,18.789097,14.528305,17.536421,13.850171,17.003891,14.532064
MSTRG.12324,49.761265,57.951157,51.013954,51.869141,40.627468,58.496971,16.075586,32.541527,29.269382
MSTRG.12325,29.890327,26.828547,20.930145,28.40486,23.081041,28.315668,11.490008,16.059448,12.729439
MSTRG.12326,64.745972,66.27771,65.712883,71.321014,56.081406,63.738796,65.061012,81.128319,94.356682
MSTRG.12327,144.978958,133.817078,111.876762,192.705353,136.737778,153.296875,150.93364,159.27655,161.329758
MSTRG.12328,112.972046,198.049774,366.929199,171.660477,160.134109,143.477493,44.986256,70.839668,61.168713
MSTRG.12329,26.285311,19.937927,28.052649,31.668053,19.469009,31.795465,26.47673,29.687675,36.566872
MSTRG.12330,9.01311,4.740302,8.870728,6.502831,13.683953,9.507134,27.442148,12.341391,21.238251
MSTRG.12331,19.783472,26.290155,24.114323,76.917267,95.344254,57.972034,72.147781,24.223785,33.864269
MSTRG.12332,21.049854,19.364979,15.122725,35.547894,44.657764,47.659225,24.382221,17.605116,22.074949
MSTRG.12333,11.725172,13.365183,8.730746,17.51462,27.446531,18.00845,14.184242,8.403595,9.952373
MSTRG.12334,3.412967,0.0,2.292071,2.944378,2.173718,3.123173,0.0,2.708927,8.14516
MSTRG.12335,0.0,3.082922,2.723324,2.651996,3.381144,2.687102,2.260343,3.419847,4.219198
MSTRG.12336,4.243619,9.623332,11.554777,12.003348,7.980516,5.816247,4.793738,7.3721,10.217426
MSTRG.12337,13.924715,6.048718,16.850143,14.762064,16.106104,20.977516,20.183683,8.445112,13.589023
MSTRG.12339,41.334816,49.330387,51.877277,85.844124,74.83091,57.249622,39.364822,43.655346,33.38607
MSTRG.12338,18.743628,19.041672,24.359358,34.721397,26.245741,21.064737,20.251169,20.089531,14.223336
MSTRG.12340,29.824619,36.660618,46.451698,58.683052,48.583096,38.830307,33.947281,33.476608,25.354891
MSTRG.12341,109.063194,101.009537,90.388756,135.211609,119.212341,116.083832,103.454102,114.857635,125.400055
MSTRG.12342,145.781799,90.402504,186.880905,42.218296,30.425993,84.641396,55.113705,105.779419,73.232307
MSTRG.12343,17.968306,27.303625,18.415678,21.251703,17.971125,18.484575,19.11817,17.372332,23.751831
MSTRG.12344,19.559933,29.040766,19.479328,22.779766,18.718307,20.182528,21.703604,20.328682,25.763161
MSTRG.12345,8.680474,4.971212,4.747885,4.395008,6.416749,1.250883,8.024737,7.178936,3.970576
MSTRG.12346,5.818071,3.097863,0.693651,3.27135,4.007626,2.61142,6.355153,4.809937,2.604953
MSTRG.12347,71.224434,90.963081,126.973999,108.823296,68.47953,77.923424,284.879242,65.206703,96.532341
MSTRG.12348,58.593792,42.274204,35.939419,72.260307,60.222656,64.380753,80.441437,62.378029,75.191757
MSTRG.12349,135.680206,114.888107,84.430832,95.448898,80.366051,89.790497,93.206909,73.896095,55.015339
MSTRG.12350,14.994762,14.278329,11.787408,19.396646,15.447487,17.326685,24.237797,18.579481,23.555058
MSTRG.12352,16.179962,12.945292,11.627115,21.588057,21.228531,19.711967,34.949848,21.140278,26.78828
MSTRG.12351,2.099074,1.926153,2.012649,3.392709,2.401211,3.27569,3.63774,2.367608,3.155845
MSTRG.12353,0.0,0.970713,1.344466,2.796259,1.759374,2.459016,2.296153,1.958285,3.634516
MSTRG.12354,1.368356,1.350737,1.536903,4.198525,2.136181,2.908673,3.805522,2.450232,3.328904
MSTRG.12355,0.0,0.0,0.0,1.916203,2.200922,0.0,3.146889,0.0,2.473706
MSTRG.12356,0.0,0.0,0.0,1.247555,4.796873,2.038788,0.0,0.0,1.329394
MSTRG.12358,4.250166,4.717408,4.415127,33.642139,23.058718,17.829599,17.697273,21.609959,14.988954
MSTRG.12359,0.0,0.985919,1.40467,9.112682,4.106885,3.67188,3.152038,2.728321,1.60059
MSTRG.12357,186.885849,200.332794,199.927979,121.858002,111.592911,137.492752,113.089249,167.438675,181.257172
MSTRG.12360,36.887821,53.240162,64.620972,80.513412,98.587982,38.424068,28.612335,65.412033,52.857368
MSTRG.12361,17.808743,27.258129,23.606741,36.627808,32.254173,23.450369,15.491525,27.03978,30.829727
MSTRG.12362,992.60675,954.674866,764.169312,462.10611,431.785553,615.377136,222.015381,1014.548828,1103.207886
MSTRG.12363,814.071228,328.295013,572.278931,372.174438,352.58374,499.795258,176.461899,835.792847,838.698303
MSTRG.12364,444.608521,358.915924,383.26178,210.443497,220.450333,284.110229,116.268219,411.983307,415.411102
MSTRG.12366,68.237671,65.505913,61.157375,48.197598,40.671204,43.092213,49.062759,57.035511,48.45974
MSTRG.12369,47.719303,62.040867,41.337143,26.274426,24.912245,37.151711,18.884851,35.58086,44.524734
MSTRG.12367,28.265894,41.660404,29.756407,16.851076,19.311928,24.182589,14.646638,18.546213,28.301453
MSTRG.12368,37.914585,57.498486,38.468197,25.669333,25.575081,29.300686,20.238411,33.041073,39.23082
MSTRG.12370,2.445827,1.213873,5.328354,4.519923,6.033914,3.948747,0.0,0.0,0.0
MSTRG.12371,181.220947,173.176651,164.298477,254.777847,212.322388,203.068451,172.571655,219.684311,255.367218
MSTRG.12374,60.393581,55.652191,52.236099,38.167107,27.036434,35.029587,20.614412,36.440254,41.71666
MSTRG.12372,6.58921,7.806239,6.297866,15.931514,11.256441,12.391584,13.572461,9.499618,9.290244
MSTRG.12373,8.466061,10.395774,8.563039,21.506393,15.549304,16.536539,15.255804,12.983937,12.744982
MSTRG.12376,6.09549,7.303439,6.505027,15.815808,11.954294,11.822932,9.535262,9.374233,9.382921
MSTRG.12375,4.993602,5.965321,5.213244,12.034401,9.676758,9.292132,8.205865,7.486144,7.141565
MSTRG.12377,4.122761,7.271229,2.664713,59.140961,5.675454,10.491574,89.83075,10.168715,10.672697
MSTRG.12378,32.454369,33.652218,34.92271,57.400513,50.451218,48.764893,41.593716,32.573421,33.118706
MSTRG.12379,2.790022,2.151716,3.006535,4.85259,5.847123,2.924988,3.038334,1.438081,3.813699
MSTRG.12381,2.586382,0.0,0.946118,0.0,3.100299,0.0,3.268382,1.566647,1.849625
MSTRG.12382,2.697603,0.0,1.080559,2.99461,0.0,2.923079,0.0,0.0,2.147476
MSTRG.12380,32.778774,36.950539,33.773689,69.554863,56.333675,57.186188,35.590446,42.055637,40.547207
MSTRG.12383,0.0,1.896397,1.977291,3.979298,3.071373,1.775708,1.88934,2.371531,1.103043
MSTRG.12384,20.672129,21.51737,16.692741,3.344388,10.712583,12.32795,20.366161,11.38683,29.285906
MSTRG.12385,4.067239,1.836858,1.966613,3.175991,1.585757,2.714476,2.481085,1.980921,2.66321
MSTRG.12386,341.98703,349.824554,342.629883,89.207558,113.188309,152.838486,74.481674,249.715607,249.689072
MSTRG.12389,96.593193,77.817795,78.616661,22.289934,28.111889,44.770226,26.076088,83.752953,100.037003
MSTRG.12388,87.960213,76.67984,75.59388,26.087391,26.466288,39.280819,35.318535,79.624016,98.197388
MSTRG.12391,7.872271,7.815258,59.557205,15.412174,30.572151,6.343295,58.788757,9.008704,5.758737
MSTRG.12390,29.532005,33.252003,42.410454,42.340076,35.719238,38.135612,97.220772,77.242638,107.660988
MSTRG.12392,156.329926,156.243073,194.350266,287.706024,305.280609,255.97998,118.166855,212.677094,209.49968
MSTRG.12393,43.970642,31.471569,43.214886,57.943665,54.064278,56.619171,30.652519,41.07486,42.43449
MSTRG.12394,37.134998,50.840134,34.226715,55.867744,51.697449,53.656197,28.235161,40.84911,30.900772
MSTRG.12395,20.803114,26.217352,23.997948,34.12122,35.24897,29.70816,21.796644,19.0481,20.559038
MSTRG.12396,62.820545,70.015457,66.626076,72.867867,76.578926,82.37413,42.066544,55.571697,57.361717
MSTRG.12398,0.0,2.193818,7.440926,2.471977,2.741191,2.550383,6.654674,1.837052,2.769073
