gene_id,mean_hydrated,mean_dehydrated,mean_rehydrated,log2FC,pvalue,cp_hyd_r1,cp_hyd_r3,cp_wc2_r2,cp_wc2_r3,cp_wc60_r1,cp_wc60_r2,cp_wc60_r3,cp_rehyd_r1,cp_rehyd_r2,cp_rehyd_r3,padj
Cp_V2_contig_18481,5.412,5.328,28.054,-0.022,0.990837204014244,0.0,10.824,0.0,0.0,16.604,10.037,0.0,84.161,0.0,0.0,1.0
Cp_V2_contig_18488,2.926,90.221,175.263,4.8994,0.02400224058049982,0.0,5.853,173.411,104.09,37.614,41.009,94.979,35.272,206.974,283.542,0.7818663273930058
Cp_V2_contig_1849,286.673,373.898,287.167,0.3831,0.8124373957386176,0.0,573.346,474.778,320.477,301.083,243.237,529.914,155.034,443.914,262.553,0.9912526060835469
Cp_V2_contig_18492,0.0,1.029,0.0,3.4975,0.37390096630005876,0.0,0.0,5.147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7818663273930058
Cp_V2_contig_18496,11.385,27.904,35.379,1.2859,0.3704499821751522,0.0,22.77,37.263,23.545,25.415,19.525,33.774,23.624,38.358,44.155,0.7818663273930058
Cp_V2_contig_18497,15.073,14.942,2.497,-0.0125,0.9947035797630387,0.0,30.147,0.0,22.074,42.358,10.278,0.0,0.0,7.492,0.0,1.0
Cp_V2_contig_18499,90.801,376.325,337.791,2.05,0.16459786472403912,0.0,181.601,343.198,448.243,452.557,293.39,344.238,299.569,445.113,268.691,0.7818663273930058
Cp_V2_contig_18500,5.612,4.928,0.0,-0.1842,0.9284716116930151,0.0,11.225,0.0,0.0,0.0,5.294,19.345,0.0,0.0,0.0,1.0
Cp_V2_contig_18505,0.0,22.791,36.124,7.8387,0.08190987917837564,0.0,0.0,26.679,7.292,0.0,56.994,22.991,12.304,59.535,36.532,0.7818663273930058
Cp_V2_contig_18506,26.659,157.25,82.144,2.5559,0.035506642453524966,0.0,53.318,101.785,215.21,201.795,66.722,200.74,133.215,73.32,39.898,0.7818663273930058
Cp_V2_contig_18507,3.047,0.497,0.0,-2.3979,0.5547299113793149,0.0,6.093,0.0,2.485,0.0,0.0,0.0,0.0,0.0,0.0,0.9078846173048445
Cp_V2_contig_18508,56.525,50.431,34.068,-0.1643,0.932138145564371,0.0,113.05,97.0,49.445,12.369,58.3,35.042,17.718,15.183,69.301,1.0
Cp_V2_contig_1851,5.813,88.449,106.064,3.9045,0.03252868107857406,0.0,11.626,76.049,161.972,134.191,46.406,23.626,127.801,67.826,122.565,0.7818663273930058
Cp_V2_contig_18510,0.0,10.785,20.159,6.7662,0.2589224430387639,0.0,0.0,0.0,0.0,0.0,42.35,11.575,47.905,0.0,12.573,0.7818663273930058
Cp_V2_contig_18511,4.851,0.798,8.81,-2.463,0.5552181441999874,0.0,9.701,0.0,3.99,0.0,0.0,0.0,11.976,0.0,14.454,0.9078846173048445
Cp_V2_contig_18515,0.0,0.0,2.531,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.592,0.0,1.0
Cp_V2_contig_18521,32.311,40.333,94.809,0.319,0.8457574848102444,0.0,64.623,27.839,35.383,65.062,26.606,46.776,136.168,106.184,42.076,1.0
Cp_V2_contig_18523,6.093,72.428,26.288,3.5497,0.01908273409039196,0.0,12.187,72.206,33.765,32.023,121.876,102.273,35.272,14.684,28.909,0.7818663273930058
Cp_V2_contig_18528,102.987,319.749,74.651,1.6335,0.22107801740956523,0.0,205.975,82.428,542.555,518.128,175.14,280.496,111.887,55.24,56.827,0.7818663273930058
Cp_V2_contig_1853,68.511,165.508,81.471,1.2713,0.3644139993903315,0.0,137.023,126.941,153.502,71.331,210.649,265.116,56.272,59.934,128.208,0.7818663273930058
Cp_V2_contig_18536,0.0,2.22,0.0,4.536,0.37390096630005887,0.0,0.0,0.0,0.0,0.0,0.0,11.099,0.0,0.0,0.0,0.7818663273930058
Cp_V2_contig_18539,25.456,47.451,80.347,0.8958,0.5418024289050003,0.0,50.912,40.38,15.043,24.907,64.006,92.917,100.731,58.436,81.875,0.9073409458334739
