Gene ID,Gene Name,cp_hyd_r1,cp_hyd_r3,cp_rehyd_r1,cp_rehyd_r2,cp_rehyd_r3,cp_wc2_r2,cp_wc2_r3,cp_wc60_r1,cp_wc60_r2,cp_wc60_r3
Cp_V2_contig_17102,.,0.0,38.404823,34.944202,88.802834,101.675072,53.719769,73.644379,80.65033,40.184242,39.640507
Cp_V2_contig_17103,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17104,.,0.0,459.575043,1576.426514,148.837143,102.269089,31.970875,32.243942,0.0,938.537537,845.452759
Cp_V2_contig_17105,.,0.0,0.0,0.0,0.0,6.930142,1.232437,4.414739,0.0,2.543741,0.0
Cp_V2_contig_17106,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17107,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17108,.,0.0,2.886375,72.185204,113.875397,108.704224,43.207802,25.294817,18.552963,20.367121,21.326593
Cp_V2_contig_17109,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_1711,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.781237,0.0
Cp_V2_contig_17110,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17111,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17112,.,0.0,69.513535,83.669212,58.935513,63.262295,62.56432,36.789486,24.228985,93.259064,65.327553
Cp_V2_contig_17113,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17114,.,0.0,323.153748,474.863831,349.517548,236.614838,287.882874,25.180361,131.988663,450.534454,371.827942
Cp_V2_contig_17115,.,0.0,6.013281,24.116421,0.0,0.0,0.0,0.0,0.0,40.45924,11.575028
Cp_V2_contig_17116,.,0.0,0.0,0.0,14.184479,0.0,15.296722,0.0,0.0,0.0,0.0
Cp_V2_contig_17117,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17118,.,0.0,0.0,10.499667,0.0,0.0,0.0,7.22709,0.0,4.778109,0.0
Cp_V2_contig_17119,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_1712,.,0.0,218.322205,71.693031,20.977047,0.0,52.124851,46.861633,12.029776,71.946632,90.697479
Cp_V2_contig_17120,.,0.0,107.677826,0.0,36.460106,29.106596,42.700329,62.493076,34.73386,22.79055,35.359333
Cp_V2_contig_17121,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17122,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17123,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17124,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17125,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17126,.,0.0,11.866208,14.272984,0.0,5.544114,0.0,1.177264,0.0,4.64061,0.0
Cp_V2_contig_17127,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17128,.,0.0,45.861294,35.354343,120.018677,112.416801,130.529617,64.520584,99.118576,61.152924,54.862461
Cp_V2_contig_17129,.,0.0,26.338173,41.01432,0.0,7.128146,5.002246,96.306702,21.687485,71.070084,12.050714
Cp_V2_contig_1713,.,0.0,0.0,0.0,0.0,0.0,0.0,4.512844,0.0,0.0,0.0
Cp_V2_contig_17130,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17131,.,0.0,0.0,0.0,0.0,0.0,5.292231,0.0,12.876943,0.0,0.0
Cp_V2_contig_17132,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17133,.,0.0,28.943928,24.116421,44.351471,14.15729,26.678644,28.12352,0.0,33.068642,11.257904
Cp_V2_contig_17134,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17135,.,0.0,0.0,24.444536,40.955185,0.0,5.437223,0.0,0.0,2.440617,23.46718
Cp_V2_contig_17136,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17137,.,0.0,28.061979,44.459526,0.0,31.482645,37.698082,6.834669,20.332014,26.606161,24.101429
Cp_V2_contig_17138,.,0.0,6.013281,12.304296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17139,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_1714,.,0.0,0.0,0.0,0.0,0.0,0.0,9.05839,0.0,0.0,0.0
Cp_V2_contig_17140,.,0.0,35.678802,63.326111,14.683932,14.355293,15.659204,11.838039,0.0,40.356117,34.883648
Cp_V2_contig_17141,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17142,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17143,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
